uid,node,webinar,url,time,time_period,all_visits,enrolment,all_enrol,purchased_entity,all_orders
10242,[],[],,,,,,,,
2052,[],[],,,,,136.0,136.0,250,250
16392,[],[],,,,,85.0,85.0,208,208
10248,[],[],,,,,,,,
2058,[],[],,,,,,,,
6156,[],[],http://grmds.org/user/login?moodleurl=http://learn.grmds.org/,1642428125.0,1642428.0,"[""'http://grmds.org/table_update_usr/ajax/9744'"", ""'http://grmds.org/user'"", ""'http://grmds.org/jsonapi/node/workflow?filter[uid.drupal_internal__uid]=9744        &page[offset]=0&page[limit]=8&include=field_banner_picture'"", ""'http://grmds.org/jsonapi/node/projects?filter[uid.drupal_internal__uid]=9744        &page[offset]=0&page[limit]=8&include=field_banner_picture'"", ""'http://grmds.org/commerce_google_tag_manager'"", ""'http://grmds.org/user/login_status'"", ""'http://grmds.org/user/login?moodleurl=http://learn.grmds.org/'"", ""'http://grmds.org/user/list/me'"", ""'http://grmds.org/jsonapi/node/data?filter[uid.drupal_internal__uid]=9744        &page[offset]=0&page[limit]=8&include=field_banner_picture'"", ""'http://grmds.org/jsonapi/node/code?filter[uid.drupal_internal__uid]=9744        &page[offset]=0&page[limit]=8&include=field_banner_picture'"", ""'http://grmds.org/jsonapi/node/insights_outputs?filter[uid.drupal_internal__uid]=9744        &page[offset]=0&page[limit]=8&include=field_banner_picture'"", ""'http://grmds.org/user/9744/dashboard'""]",103.0,103.0,,
4110,[],['/webinar/Using-Text-for-Marketing-Insights'],,,,,146.0,['146'],,
16398,[],[],,,,,178.0,178.0,,
10254,[],[],http://grmds.org/user/login_status,1642414044.0,1642414.0,"[""'http://grmds.org/rmds_messenger/unread'"", ""'http://grmds.org/user/login'"", ""'http://grmds.org/commerce_google_tag_manager'"", ""'http://grmds.org/user/login_status'"", ""'http://grmds.org/user/list/me'"", ""'http://grmds.org/user/16944/dashboard'""]",,,,
2064,[],['/webinar/mobility-data-for-social-distancing-and-covid-19-response'],,,,,171.0,171.0,204,204
10260,[],[],http://grmds.org/user/login,1644899405.0,1644899.0,"[""'http://grmds.org/jsonapi/node/data?filter[uid.drupal_internal__uid]=9756        &page[offset]=0&page[limit]=8&include=field_banner_picture'"", ""'http://grmds.org/user/login'"", ""'http://grmds.org/rmds-exchange'"", ""'http://grmds.org/user/login_status'"", ""'http://grmds.org/rmds_messenger/unread'"", ""'http://grmds.org/node/1368'"", ""'http://grmds.org/table_update_pro/ajax/941'"", ""'http://grmds.org/jsonapi/node/insights_outputs?filter[uid.drupal_internal__uid]=9756        &page[offset]=0&page[limit]=8&include=field_banner_picture'"", ""'http://grmds.org/table_update_usr/ajax/9733'"", ""'http://grmds.org/commerce_google_tag_manager'"", ""'http://grmds.org/history/1368/read'"", ""'http://grmds.org/history/941/read'"", ""'http://grmds.org/user/9756/dashboard'"", ""'http://grmds.org/table_update_usr/ajax/9756'"", ""'http://grmds.org/jsonapi/node/code?filter[uid.drupal_internal__uid]=9756        &page[offset]=0&page[limit]=8&include=field_banner_picture'"", ""'http://grmds.org/themes/ihelper/css/base/elements.css?r5vdov='"", ""'http://grmds.org/themes/ihelper/css/components/capitons.css?r5vdov='"", ""'http://grmds.org/table_update_pro/ajax/1368'"", ""'http://grmds.org/jsonapi/node/workflow?filter[uid.drupal_internal__uid]=9756        &page[offset]=0&page[limit]=8&include=field_banner_picture'"", ""'http://grmds.org/themes/ihelper/css/components/table.css?r5vdov='"", ""'http://grmds.org/jsonapi/node/projects?filter[uid.drupal_internal__uid]=9756        &page[offset]=0&page[limit]=8&include=field_banner_picture'"", ""'http://grmds.org/user/list/me'""]",,,,
4116,"['/node/356', '/node/376']",['/webinar/Using-Text-for-Marketing-Insights'],http://grmds.org/user/login?errorcode=4,1642564333.0,1642564.0,"[""'http://grmds.org/rmds_messenger/unread'"", ""'http://grmds.org/user/weikang-kong'"", ""'http://grmds.org/autologout_ajax_get_time_left?_wrapper_format=drupal_ajax'"", ""'http://grmds.org/user/list/me'"", ""'http://grmds.org/user/login_status'"", ""'http://grmds.org/user/login?errorcode=4'"", ""'http://grmds.org/user/17016/dashboard'"", ""'http://grmds.org/jsonapi/node/projects?filter[uid.drupal_internal__uid]=17016        &page[offset]=0&page[limit]=8&include=field_banner_picture'"", ""'http://grmds.org/membership-pricing'"", ""'http://grmds.org/jsonapi/node/insights_outputs?filter[uid.drupal_internal__uid]=17016        &page[offset]=0&page[limit]=8&include=field_banner_picture'"", ""'http://grmds.org/table_update_pro/ajax/9609'"", ""'http://grmds.org/commerce_google_tag_manager'"", ""'http://grmds.org/table_update_usr/ajax/17016'"", ""'http://grmds.org/jsonapi/node/data?filter[uid.drupal_internal__uid]=17016        &page[offset]=0&page[limit]=8&include=field_banner_picture'"", ""'http://grmds.org/jsonapi/node/workflow?filter[uid.drupal_internal__uid]=17016        &page[offset]=0&page[limit]=8&include=field_banner_picture'"", ""'http://grmds.org/jsonapi/node/code?filter[uid.drupal_internal__uid]=17016        &page[offset]=0&page[limit]=8&include=field_banner_picture'""]",,,,
2070,[],[],,,,,,,200,200
